Muster;Formatstand;Sparte;Prüf-ID;Segment;Befund;Vorschlag;Entscheidung
E1;202604;Gas;44003;FTX;FTX+ABO: Qualifier ist im AHB der Prüf-ID 44003 nicht vorgesehen.;Qualifier datengetrieben aus AHB-Meta (ACB statt ABO) setzen;
E1;202604;Gas;44006;FTX;FTX+ABO: Qualifier ist im AHB der Prüf-ID 44006 nicht vorgesehen.;Qualifier datengetrieben aus AHB-Meta (ACB statt ABO) setzen;
E1;202604;Gas;44009;FTX;FTX+ABO: Qualifier ist im AHB der Prüf-ID 44009 nicht vorgesehen.;Qualifier datengetrieben aus AHB-Meta (ACB statt ABO) setzen;
E1;202604;Gas;44015;FTX;FTX+ABO: Qualifier ist im AHB der Prüf-ID 44015 nicht vorgesehen.;Qualifier datengetrieben aus AHB-Meta (ACB statt ABO) setzen;
E1;202604;Gas;44018;FTX;FTX+ABO: Qualifier ist im AHB der Prüf-ID 44018 nicht vorgesehen.;Qualifier datengetrieben aus AHB-Meta (ACB statt ABO) setzen;
E1;202604;Gas;44024;FTX;FTX+ABO: Qualifier ist im AHB der Prüf-ID 44024 nicht vorgesehen.;Qualifier datengetrieben aus AHB-Meta (ACB statt ABO) setzen;
E1;202604;Strom;55003;FTX;FTX+ABO: Qualifier ist im AHB der Prüf-ID 55003 nicht vorgesehen.;Qualifier datengetrieben aus AHB-Meta (ACB statt ABO) setzen;
E1;202604;Strom;55006;FTX;FTX+ABO: Qualifier ist im AHB der Prüf-ID 55006 nicht vorgesehen.;Qualifier datengetrieben aus AHB-Meta (ACB statt ABO) setzen;
E1;202604;Strom;55009;FTX;FTX+ABO: Qualifier ist im AHB der Prüf-ID 55009 nicht vorgesehen.;Qualifier datengetrieben aus AHB-Meta (ACB statt ABO) setzen;
E1;202604;Strom;55015;FTX;FTX+ABO: Qualifier ist im AHB der Prüf-ID 55015 nicht vorgesehen.;Qualifier datengetrieben aus AHB-Meta (ACB statt ABO) setzen;
E1;202604;Strom;55018;FTX;FTX+ABO: Qualifier ist im AHB der Prüf-ID 55018 nicht vorgesehen.;Qualifier datengetrieben aus AHB-Meta (ACB statt ABO) setzen;
E1;202604;Strom;55024;FTX;FTX+ABO: Qualifier ist im AHB der Prüf-ID 55024 nicht vorgesehen.;Qualifier datengetrieben aus AHB-Meta (ACB statt ABO) setzen;
E1;202604;Strom;55080;FTX;FTX+ABO: Qualifier ist im AHB der Prüf-ID 55080 nicht vorgesehen.;Qualifier datengetrieben aus AHB-Meta (ACB statt ABO) setzen;
E1;202604;Strom;55604;FTX;FTX+ABO: Qualifier ist im AHB der Prüf-ID 55604 nicht vorgesehen.;Qualifier datengetrieben aus AHB-Meta (ACB statt ABO) setzen;
E1;202604;Strom;55605;FTX;FTX+ABO: Qualifier ist im AHB der Prüf-ID 55605 nicht vorgesehen.;Qualifier datengetrieben aus AHB-Meta (ACB statt ABO) setzen;
