Formatstand;Nachrichtentyp;PruefID;Bezeichnung;Segmentinstanzen;Datenelemente;Codewerte;bedingte Segmente;AHB-Zeilen;Quelldatei;Tabellenlayout
202604;Berichte/IFTSTA;21000;Statusmeldung;15;42;39;0;78;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21001;Statusmeldung;15;42;35;0;74;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21002;Abweisung;14;38;37;0;73;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21003;Status- meldung;15;42;57;0;96;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21004;Status- meldung;15;41;57;0;96;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21005;Status- meldung;15;42;45;0;84;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21007;Statusmeldung;14;37;36;0;71;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21009;Status- meldung;11;28;27;0;55;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21010;Status- meldung;12;31;29;0;59;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21011;Status- meldung;13;34;31;0;64;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21012;Status- meldung;14;35;31;0;65;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21013;Status- meldung;11;29;28;0;56;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21015;Informationsmeldung;13;34;30;0;63;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21018;Statusmeldung;13;34;33;0;66;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21024;Status-;12;31;27;0;57;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21025;Status- meldung;13;33;31;1;65;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21026;Status- meldung;12;31;27;0;57;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21027;Status- meldung;13;33;31;1;65;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21028;Informationsmeldung;12;33;28;0;59;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21029;Vorabinfor- mation;21;49;39;0;85;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21030;iMS- Ersteinbau- zust.;14;37;30;0;65;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21031;Bestandss. / Eigenausbau iMS;13;34;28;0;61;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21032;Antwort auf das Angebot;12;32;28;0;59;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21033;Ablehnung der Anfrage;15;38;35;1;73;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21035;Rückmeld. a. Liefers.;16;43;48;0;87;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21036;Gerätestatus;12;31;27;0;57;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21037;Ansicht NB;34;74;64;0;145;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21038;Ansicht BTR;27;62;54;0;119;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21039;Auftragsstatus (Sperren);19;48;48;0;95;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
